BeginSample
	_SampleName, "Sample4.mss"
	_MethodName, "Multicycle Compression to Displacement Points.msm"
	PercentSetLoad, 0.000,  "N"
	BreakDrop, 50.0,  "%"
	BreakElongation, 2.540,  "mm"
	BreakSensitivity, 90,  "%"
	BreakThreshold, 2.224,  "N"
	CycleSavingFrequency, 1,  ""
	DataAcqRate, 10.0,  "Hz"
	EndPointBreakingAmount, 0.000,  "mm"
	Extension1, 0.000,  "mm"
	Extension2, 38.100,  "mm"
	Extension3, 44.450,  "mm"
	ExtLimitHigh, 508,  "mm"
	ExtLimitLow, -0.25,  "mm"
	GageLength, 25.557,  "mm"
	Header1, "",  ""
	Header2, "",  ""
	Header3, "",  ""
	HoldTime1, 60.000,  "s"
	HoldTime2, 0.000,  "s"
	LoadLimitHigh, 10009,  "N"
	LoadLimitLow, -4448,  "N"
	_MaxSpecimens, 999,  ""
	ModulusExt1, 30.480,  "mm"
	ModulusExt2, 45.720,  "mm"
	NumCycles, 1,  ""
	PerformPreLoad, "1 Yes",  ""
	PreLoad, 10.000,  "N"
	PreLoadSpeed, 5.000,  "mm/min"
	SampleInfo1, "",  ""
	SampleInfo2, "",  ""
	SampleInfo3, "",  ""
	SampleInfo4, "",  ""
	SampleInfo5, "",  ""
	SampleInfo6, "",  ""
	SampleInfo7, "",  ""
	SampleInfo8, "",  ""
	SampleInfo9, "",  ""
	SampleInfo10, "",  ""
	SampleID, "DensityGroup1TestSpeed1",  ""
	SaveFirstCycle, "1 Yes",  ""
	SaveLastCycle, "1 Yes",  ""
	SlackPreLoad, 4.448,  "N"
	SlopeSegLength, 20.000,  "%"
	StrainLimitHigh, 10,  "mm/mm"
	StrainLimitLow, -10,  "mm/mm"
	StressLimitHigh, 207,  "MPa"
	StressLimitLow, -207,  "MPa"
	TimeLimit, 10000,  "s"
	ZeroExtAfterPreLoad, "1 Yes",  ""
	BeginSpecimen
		Endpoint1, 0.205,  "mm"
		Endpoint2, 0.000,  "mm"
		Comment, "",  ""
		TestSpeed, 0.8,  "mm/min"
		Thickness, 12.70,  "mm"
		Width, 12.25,  "mm"
		AdjGage, 21.155,  "mm"
		Area, 155.5750,  "mm^2"
		BreakCycle, ****,  ""
		Break, ****,  ""
		LoadAtBreak, ****,  "N"
		CycleStatus, "5 of 5 Cycle(s)",  ""
		GageAdjustment, 0.615,  "mm"
		LoadCellCapacity, 10000.000,  "N"
		PeakLoadForEntireTest, 45.516,  "N"
		PreConditioningGageAdjustment, ****,  "mm"
		PreLoadStatus, "PreLoad Section",  ""
		PreTestGageAdjustment, 0.615,  "mm"
		SlackVal, 0.615,  "mm"
		TestStatus, "5 of 5 Cycle(s)",  ""
		BeginData
			5, -0.000, 2.772, 191.860, 0.019, -0.000
			5, -0.000, 2.756, 191.890, 0.019, -0.000
		EndData
	EndSpecimen
	BeginSpecimen
		Endpoint1, 0.064,  "mm"
		Endpoint2, 0.000,  "mm"
		Comment, "",  ""
		TestSpeed, 1.0,  "mm/min"
		Thickness, 12.14,  "mm"
		Width, 12.32,  "mm"
		AdjGage, 25.837,  "mm"
		Area, 149.5648,  "mm^2"
		BreakCycle, ****,  ""
		Break, ****,  ""
		LoadAtBreak, ****,  "N"
		CycleStatus, "5 of 5 Cycle(s)",  ""
		GageAdjustment, 0.280,  "mm"
		LoadCellCapacity, 10000.000,  "N"
		PeakLoadForEntireTest, 96.958,  "N"
		PreConditioningGageAdjustment, ****,  "mm"
		PreLoadStatus, "PreLoad Section",  ""
		PreTestGageAdjustment, 0.280,  "mm"
		SlackVal, 0.280,  "mm"
		TestStatus, "5 of 5 Cycle(s)",  ""
		BeginData
			CycleChannel, SlackExt, _Load, _Time, Stress, Strain
			"", "mm", "N", "s", "MPa", "mm/mm"
			1, 0.004, 14.859, 0.140, 0.099, 0.000
			1, 0.004, 14.849, 0.300, 0.099, 0.000
			1, 0.005, 15.739, 0.400, 0.105, 0.000
			1, 0.007, 17.149, 0.500, 0.115, 0.000
			1, 0.008, 18.592, 0.600, 0.124, 0.000
			1, 0.010, 20.148, 0.700, 0.135, 0.000
			1, 0.011, 21.567, 0.800, 0.144, 0.000
			1, 0.012, 23.216, 0.900, 0.155, 0.000
			1, 0.014, 25.185, 1.000, 0.168, 0.001
			1, 0.016, 27.605, 1.100, 0.185, 0.001
			1, 0.019, 30.009, 1.200, 0.201, 0.001
			1, 0.020, 32.120, 1.300, 0.215, 0.001
			1, 0.021, 33.814, 1.400, 0.226, 0.001
			1, 0.023, 35.573, 1.500, 0.238, 0.001
			1, 0.024, 37.513, 1.600, 0.251, 0.001
			1, 0.026, 39.508, 1.700, 0.264, 0.001
			1, 0.027, 41.552, 1.800, 0.278, 0.001
			1, 0.029, 43.577, 1.900, 0.291, 0.001
			1, 0.030, 45.670, 2.000, 0.305, 0.001
			1, 0.032, 48.373, 2.100, 0.323, 0.001
			1, 0.035, 51.254, 2.200, 0.343, 0.001
			1, 0.037, 54.168, 2.300, 0.362, 0.001
			1, 0.038, 55.860, 2.400, 0.373, 0.001
			1, 0.039, 57.880, 2.500, 0.387, 0.002
			1, 0.040, 59.984, 2.600, 0.401, 0.002
			1, 0.042, 62.145, 2.700, 0.416, 0.002
			1, 0.044, 64.412, 2.800, 0.431, 0.002
			1, 0.045, 66.625, 2.900, 0.445, 0.002
			1, 0.047, 68.842, 3.000, 0.460, 0.002
			1, 0.049, 71.295, 3.100, 0.477, 0.002
			1, 0.050, 74.555, 3.200, 0.498, 0.002
			1, 0.052, 77.575, 3.300, 0.519, 0.002
			1, 0.054, 80.336, 3.400, 0.537, 0.002
			1, 0.055, 82.377, 3.500, 0.551, 0.002
			1, 0.057, 84.653, 3.600, 0.566, 0.002
			1, 0.059, 86.958, 3.700, 0.581, 0.002
			1, 0.060, 89.391, 3.800, 0.598, 0.002
			1, 0.062, 92.009, 3.900, 0.615, 0.002
			1, 0.064, 94.548, 4.000, 0.632, 0.002
			1, 0.064, 95.572, 4.040, 0.639, 0.002
			1, 0.064, 96.291, 4.070, 0.644, 0.002
			1, 0.065, 96.958, 4.200, 0.648, 0.003
			1, 0.065, 96.798, 4.300, 0.647, 0.003
			1, 0.065, 96.658, 4.400, 0.646, 0.003
			1, 0.065, 96.525, 4.500, 0.645, 0.003
			1, 0.065, 96.428, 4.600, 0.645, 0.003
			1, 0.065, 96.340, 4.700, 0.644, 0.003
			1, 0.065, 96.267, 4.800, 0.644, 0.003
			1, 0.065, 96.202, 4.900, 0.643, 0.003
			1, 0.065, 96.127, 5.000, 0.643, 0.003
			1, 0.065, 96.080, 5.100, 0.642, 0.003
			1, 0.065, 96.051, 5.200, 0.642, 0.003
			1, 0.065, 95.978, 5.300, 0.642, 0.003
			1, 0.065, 95.974, 5.400, 0.642, 0.003
			1, 0.065, 95.882, 5.500, 0.641, 0.003
			1, 0.065, 95.773, 5.600, 0.640, 0.003
			1, 0.064, 95.768, 5.700, 0.640, 0.002
			1, 0.064, 95.689, 5.800, 0.640, 0.002
			1, 0.064, 95.619, 5.900, 0.639, 0.002
			1, 0.064, 95.530, 6.000, 0.639, 0.002
			1, 0.064, 95.463, 6.100, 0.638, 0.002
			1, 0.064, 95.233, 6.200, 0.637, 0.002
			1, 0.064, 94.782, 6.300, 0.634, 0.002
			1, 0.064, 94.298, 6.400, 0.630, 0.002
			1, 0.063, 93.629, 6.500, 0.626, 0.002
			1, 0.062, 91.878, 6.600, 0.614, 0.002
			1, 0.060, 88.216, 6.700, 0.590, 0.002
			1, 0.058, 85.166, 6.800, 0.569, 0.002
			1, 0.057, 82.517, 6.900, 0.552, 0.002
			1, 0.055, 79.672, 7.000, 0.533, 0.002
			1, 0.054, 76.654, 7.100, 0.513, 0.002
			1, 0.052, 73.748, 7.200, 0.493, 0.002
			1, 0.050, 70.953, 7.300, 0.474, 0.002
			1, 0.049, 68.336, 7.400, 0.457, 0.002
			1, 0.047, 65.281, 7.500, 0.436, 0.002
			1, 0.045, 62.507, 7.600, 0.418, 0.002
			1, 0.043, 59.228, 7.700, 0.396, 0.002
			1, 0.041, 56.310, 7.800, 0.376, 0.002
			1, 0.040, 53.848, 7.900, 0.360, 0.002
			1, 0.039, 51.587, 8.000, 0.345, 0.001
			1, 0.037, 49.098, 8.100, 0.328, 0.001
			1, 0.035, 46.602, 8.200, 0.312, 0.001
			1, 0.034, 44.153, 8.300, 0.295, 0.001
			1, 0.032, 41.955, 8.400, 0.281, 0.001
			1, 0.030, 39.701, 8.500, 0.265, 0.001
			1, 0.029, 37.254, 8.600, 0.249, 0.001
			1, 0.027, 34.566, 8.700, 0.231, 0.001
			1, 0.024, 31.936, 8.800, 0.214, 0.001
			1, 0.023, 29.722, 8.900, 0.199, 0.001
			1, 0.021, 27.877, 9.000, 0.186, 0.001
			1, 0.020, 26.050, 9.100, 0.174, 0.001
			1, 0.018, 24.036, 9.200, 0.161, 0.001
			1, 0.017, 22.219, 9.300, 0.149, 0.001
			1, 0.015, 20.469, 9.400, 0.137, 0.001
			1, 0.014, 18.898, 9.500, 0.126, 0.001
			1, 0.012, 17.135, 9.600, 0.115, 0.000
			1, 0.010, 15.610, 9.700, 0.104, 0.000
			1, 0.008, 13.677, 9.800, 0.091, 0.000
			1, 0.006, 12.058, 9.900, 0.081, 0.000
			1, 0.005, 10.663, 10.000, 0.071, 0.000
			1, 0.003, 9.547, 10.100, 0.064, 0.000
			1, 0.002, 8.370, 10.200, 0.056, 0.000
			1, -0.000, 7.280, 10.290, 0.049, -0.000
			2, -0.000, 6.980, 10.320, 0.047, -0.000
			2, -0.001, 6.665, 10.420, 0.045, -0.000
			2, -0.001, 6.655, 10.600, 0.044, -0.000
			2, -0.001, 6.711, 10.700, 0.045, -0.000
			2, -0.001, 6.723, 10.800, 0.045, -0.000
			2, -0.001, 6.734, 10.900, 0.045, -0.000
			2, -0.001, 6.762, 11.000, 0.045, -0.000
			2, -0.001, 6.750, 11.100, 0.045, -0.000
			2, -0.001, 6.758, 11.200, 0.045, -0.000
			2, -0.001, 6.788, 11.300, 0.045, -0.000
			2, -0.001, 6.794, 11.400, 0.045, -0.000
			2, -0.001, 6.796, 11.500, 0.045, -0.000
			2, -0.000, 6.859, 11.600, 0.046, -0.000
			2, -0.000, 6.925, 11.700, 0.046, -0.000
			2, -0.000, 6.922, 11.800, 0.046, -0.000
			2, -0.000, 6.942, 11.900, 0.046, -0.000
			2, -0.000, 6.994, 12.000, 0.047, -0.000
			2, -0.000, 7.035, 12.100, 0.047, -0.000
			2, -0.000, 7.095, 12.200, 0.047, -0.000
			2, -0.000, 7.139, 12.300, 0.048, -0.000
			2, 0.000, 7.205, 12.400, 0.048, 0.000
			2, 0.000, 7.374, 12.500, 0.049, 0.000
			2, 0.001, 7.646, 12.600, 0.051, 0.000
			2, 0.002, 8.332, 12.700, 0.056, 0.000
			2, 0.004, 9.907, 12.800, 0.066, 0.000
			2, 0.005, 11.101, 12.900, 0.074, 0.000
			2, 0.007, 12.354, 13.000, 0.083, 0.000
			2, 0.008, 13.686, 13.100, 0.092, 0.000
			2, 0.009, 15.092, 13.200, 0.101, 0.000
			2, 0.011, 16.645, 13.300, 0.111, 0.000
			2, 0.012, 18.212, 13.400, 0.122, 0.000
			2, 0.014, 19.833, 13.500, 0.133, 0.001
			2, 0.016, 21.832, 13.600, 0.146, 0.001
			2, 0.018, 24.344, 13.700, 0.163, 0.001
			2, 0.020, 26.661, 13.800, 0.178, 0.001
			2, 0.022, 28.754, 13.900, 0.192, 0.001
			2, 0.023, 30.533, 14.000, 0.204, 0.001
			2, 0.025, 32.402, 14.100, 0.217, 0.001
			2, 0.026, 34.372, 14.200, 0.230, 0.001
			2, 0.028, 36.451, 14.300, 0.244, 0.001
			2, 0.029, 38.586, 14.400, 0.258, 0.001
			2, 0.030, 40.641, 14.500, 0.272, 0.001
			2, 0.032, 42.861, 14.600, 0.287, 0.001
			2, 0.034, 45.710, 14.700, 0.306, 0.001
			2, 0.037, 48.703, 14.800, 0.326, 0.001
			2, 0.039, 51.794, 14.900, 0.346, 0.001
			2, 0.040, 53.777, 15.000, 0.360, 0.002
			2, 0.041, 55.887, 15.100, 0.374, 0.002
			2, 0.042, 58.179, 15.200, 0.389, 0.002
			2, 0.044, 60.524, 15.300, 0.405, 0.002
			2, 0.045, 63.019, 15.400, 0.421, 0.002
			2, 0.047, 65.498, 15.500, 0.438, 0.002
			2, 0.049, 67.869, 15.600, 0.454, 0.002
			2, 0.050, 70.597, 15.700, 0.472, 0.002
			2, 0.052, 74.061, 15.800, 0.495, 0.002
			2, 0.054, 77.351, 15.900, 0.517, 0.002
			2, 0.056, 80.353, 16.000, 0.537, 0.002
			2, 0.057, 82.603, 16.100, 0.552, 0.002
			2, 0.059, 85.093, 16.200, 0.569, 0.002
			2, 0.060, 87.689, 16.300, 0.586, 0.002
			2, 0.062, 90.414, 16.400, 0.605, 0.002
			2, 0.064, 93.257, 16.500, 0.624, 0.002
			2, 0.064, 93.802, 16.520, 0.627, 0.002
			2, 0.064, 94.615, 16.550, 0.633, 0.002
			2, 0.065, 95.427, 16.700, 0.638, 0.003
			2, 0.065, 95.272, 16.800, 0.637, 0.003
			2, 0.065, 95.168, 16.900, 0.636, 0.003
			2, 0.065, 95.140, 17.000, 0.636, 0.003
			2, 0.065, 95.038, 17.100, 0.635, 0.003
			2, 0.065, 94.998, 17.200, 0.635, 0.003
			2, 0.065, 94.929, 17.300, 0.635, 0.003
			2, 0.065, 94.888, 17.400, 0.634, 0.003
			2, 0.065, 94.857, 17.500, 0.634, 0.003
			2, 0.065, 94.839, 17.600, 0.634, 0.003
			2, 0.064, 94.755, 17.700, 0.634, 0.002
			2, 0.064, 94.701, 17.800, 0.633, 0.002
			2, 0.064, 94.663, 17.900, 0.633, 0.002
			2, 0.064, 94.578, 18.000, 0.632, 0.002
			2, 0.064, 94.512, 18.100, 0.632, 0.002
			2, 0.064, 94.407, 18.200, 0.631, 0.002
			2, 0.064, 94.380, 18.300, 0.631, 0.002
			2, 0.064, 94.298, 18.400, 0.630, 0.002
			2, 0.064, 94.160, 18.500, 0.630, 0.002
			2, 0.064, 93.852, 18.600, 0.628, 0.002
			2, 0.064, 93.372, 18.700, 0.624, 0.002
			2, 0.063, 92.860, 18.800, 0.621, 0.002
			2, 0.062, 91.677, 18.900, 0.613, 0.002
			2, 0.060, 88.414, 19.000, 0.591, 0.002
			2, 0.059, 85.033, 19.100, 0.569, 0.002
			2, 0.057, 82.256, 19.200, 0.550, 0.002
			2, 0.055, 79.598, 19.300, 0.532, 0.002
			2, 0.054, 76.656, 19.400, 0.513, 0.002
			2, 0.052, 73.687, 19.500, 0.493, 0.002
			2, 0.050, 70.857, 19.600, 0.474, 0.002
			2, 0.049, 68.219, 19.700, 0.456, 0.002
			2, 0.047, 65.502, 19.800, 0.438, 0.002
			2, 0.046, 62.732, 19.900, 0.419, 0.002
			2, 0.044, 59.531, 20.000, 0.398, 0.002
			2, 0.042, 56.430, 20.100, 0.377, 0.002
			2, 0.040, 53.748, 20.200, 0.359, 0.002
			2, 0.039, 51.459, 20.300, 0.344, 0.001
			2, 0.037, 49.117, 20.400, 0.328, 0.001
			2, 0.035, 46.610, 20.500, 0.312, 0.001
			2, 0.034, 44.169, 20.600, 0.295, 0.001
			2, 0.032, 41.884, 20.700, 0.280, 0.001
			2, 0.031, 39.748, 20.800, 0.266, 0.001
			2, 0.029, 37.315, 20.900, 0.249, 0.001
			2, 0.027, 34.890, 21.000, 0.233, 0.001
			2, 0.025, 32.208, 21.100, 0.215, 0.001
			2, 0.024, 29.795, 21.200, 0.199, 0.001
			2, 0.022, 27.784, 21.300, 0.186, 0.001
			2, 0.020, 26.028, 21.400, 0.174, 0.001
			2, 0.019, 24.101, 21.500, 0.161, 0.001
			2, 0.017, 22.217, 21.600, 0.149, 0.001
			2, 0.015, 20.467, 21.700, 0.137, 0.001
			2, 0.014, 18.766, 21.800, 0.125, 0.001
			2, 0.012, 17.178, 21.900, 0.115, 0.000
			2, 0.010, 15.486, 22.000, 0.104, 0.000
			2, 0.009, 13.871, 22.100, 0.093, 0.000
			2, 0.007, 12.070, 22.200, 0.081, 0.000
			2, 0.005, 10.600, 22.300, 0.071, 0.000
			2, 0.004, 9.352, 22.400, 0.063, 0.000
			2, 0.002, 8.255, 22.500, 0.055, 0.000
			2, 0.000, 7.075, 22.600, 0.047, 0.000
			2, -0.000, 6.615, 22.640, 0.044, -0.000
			3, -0.000, 6.337, 22.670, 0.042, -0.000
			3, -0.001, 6.045, 22.760, 0.040, -0.000
			3, -0.001, 5.959, 22.900, 0.040, -0.000
			3, -0.001, 6.057, 23.000, 0.040, -0.000
			3, -0.001, 6.038, 23.100, 0.040, -0.000
			3, -0.001, 6.049, 23.200, 0.040, -0.000
			3, -0.001, 6.095, 23.300, 0.041, -0.000
			3, -0.001, 6.130, 23.400, 0.041, -0.000
			3, -0.001, 6.127, 23.500, 0.041, -0.000
			3, -0.001, 6.169, 23.600, 0.041, -0.000
			3, -0.001, 6.155, 23.700, 0.041, -0.000
			3, -0.001, 6.180, 23.800, 0.041, -0.000
			3, -0.001, 6.268, 23.900, 0.042, -0.000
			3, -0.001, 6.170, 24.000, 0.041, -0.000
			3, -0.001, 6.305, 24.100, 0.042, -0.000
			3, -0.000, 6.270, 24.200, 0.042, -0.000
			3, -0.000, 6.319, 24.300, 0.042, -0.000
			3, -0.000, 6.396, 24.400, 0.043, -0.000
			3, -0.000, 6.443, 24.500, 0.043, -0.000
			3, -0.000, 6.490, 24.600, 0.043, -0.000
			3, -0.000, 6.529, 24.700, 0.044, -0.000
			3, 0.000, 6.679, 24.800, 0.045, 0.000
			3, 0.001, 6.964, 24.900, 0.047, 0.000
			3, 0.002, 7.570, 25.000, 0.051, 0.000
			3, 0.004, 9.215, 25.100, 0.062, 0.000
			3, 0.005, 10.349, 25.200, 0.069, 0.000
			3, 0.006, 11.566, 25.300, 0.077, 0.000
			3, 0.008, 12.882, 25.400, 0.086, 0.000
			3, 0.009, 14.293, 25.500, 0.096, 0.000
			3, 0.011, 15.786, 25.600, 0.106, 0.000
			3, 0.012, 17.307, 25.700, 0.116, 0.000
			3, 0.014, 18.860, 25.800, 0.126, 0.001
			3, 0.015, 20.746, 25.900, 0.139, 0.001
			3, 0.018, 23.128, 26.000, 0.155, 0.001
			3, 0.020, 25.448, 26.100, 0.170, 0.001
			3, 0.022, 27.829, 26.200, 0.186, 0.001
			3, 0.023, 29.485, 26.300, 0.197, 0.001
			3, 0.024, 31.351, 26.400, 0.210, 0.001
			3, 0.026, 33.311, 26.500, 0.223, 0.001
			3, 0.027, 35.359, 26.600, 0.236, 0.001
			3, 0.029, 37.469, 26.700, 0.251, 0.001
			3, 0.030, 39.486, 26.800, 0.264, 0.001
			3, 0.032, 41.647, 26.900, 0.278, 0.001
			3, 0.034, 44.365, 27.000, 0.297, 0.001
			3, 0.036, 47.334, 27.100, 0.316, 0.001
			3, 0.038, 50.540, 27.200, 0.338, 0.001
			3, 0.040, 52.675, 27.300, 0.352, 0.002
			3, 0.041, 54.783, 27.400, 0.366, 0.002
			3, 0.042, 57.025, 27.500, 0.381, 0.002
			3, 0.044, 59.328, 27.600, 0.397, 0.002
			3, 0.045, 61.836, 27.700, 0.413, 0.002
			3, 0.047, 64.324, 27.800, 0.430, 0.002
			3, 0.049, 66.754, 27.900, 0.446, 0.002
			3, 0.050, 69.330, 28.000, 0.464, 0.002
			3, 0.052, 72.646, 28.100, 0.486, 0.002
			3, 0.054, 76.038, 28.200, 0.508, 0.002
			3, 0.056, 79.310, 28.300, 0.530, 0.002
			3, 0.057, 81.598, 28.400, 0.546, 0.002
			3, 0.059, 84.078, 28.500, 0.562, 0.002
			3, 0.060, 86.652, 28.600, 0.579, 0.002
			3, 0.062, 89.375, 28.700, 0.598, 0.002
			3, 0.064, 92.213, 28.800, 0.617, 0.002
			3, 0.064, 93.344, 28.840, 0.624, 0.002
			3, 0.064, 94.181, 28.870, 0.630, 0.002
			3, 0.065, 94.994, 29.000, 0.635, 0.003
			3, 0.065, 94.935, 29.100, 0.635, 0.003
			3, 0.065, 94.851, 29.200, 0.634, 0.003
			3, 0.065, 94.767, 29.300, 0.634, 0.003
			3, 0.065, 94.706, 29.400, 0.633, 0.003
			3, 0.065, 94.671, 29.500, 0.633, 0.003
			3, 0.065, 94.620, 29.600, 0.633, 0.003
			3, 0.065, 94.591, 29.700, 0.632, 0.003
			3, 0.065, 94.524, 29.800, 0.632, 0.003
			3, 0.065, 94.491, 29.900, 0.632, 0.003
			3, 0.065, 94.467, 30.000, 0.632, 0.003
			3, 0.065, 94.379, 30.100, 0.631, 0.003
			3, 0.065, 94.301, 30.200, 0.631, 0.003
			3, 0.065, 94.262, 30.300, 0.630, 0.003
			3, 0.065, 94.214, 30.400, 0.630, 0.003
			3, 0.064, 94.141, 30.500, 0.629, 0.002
			3, 0.064, 94.030, 30.600, 0.629, 0.002
			3, 0.064, 94.010, 30.700, 0.629, 0.002
			3, 0.064, 93.880, 30.800, 0.628, 0.002
			3, 0.064, 93.591, 30.900, 0.626, 0.002
			3, 0.064, 93.129, 31.000, 0.623, 0.002
			3, 0.063, 92.571, 31.100, 0.619, 0.002
			3, 0.062, 91.498, 31.200, 0.612, 0.002
			3, 0.060, 88.270, 31.300, 0.590, 0.002
			3, 0.059, 84.837, 31.400, 0.567, 0.002
			3, 0.057, 81.971, 31.500, 0.548, 0.002
			3, 0.056, 79.335, 31.600, 0.530, 0.002
			3, 0.054, 76.444, 31.700, 0.511, 0.002
			3, 0.052, 73.474, 31.800, 0.491, 0.002
			3, 0.051, 70.606, 31.900, 0.472, 0.002
			3, 0.049, 67.900, 32.000, 0.454, 0.002
			3, 0.048, 65.293, 32.100, 0.437, 0.002
			3, 0.046, 62.513, 32.200, 0.418, 0.002
			3, 0.044, 59.425, 32.300, 0.397, 0.002
			3, 0.042, 56.267, 32.400, 0.376, 0.002
			3, 0.040, 53.499, 32.500, 0.358, 0.002
			3, 0.039, 51.205, 32.600, 0.342, 0.002
			3, 0.037, 48.912, 32.700, 0.327, 0.001
			3, 0.036, 46.436, 32.800, 0.310, 0.001
			3, 0.034, 44.031, 32.900, 0.294, 0.001
			3, 0.032, 41.643, 33.000, 0.278, 0.001
			3, 0.031, 39.524, 33.100, 0.264, 0.001
			3, 0.029, 37.195, 33.200, 0.249, 0.001
			3, 0.027, 34.795, 33.300, 0.233, 0.001
			3, 0.025, 32.122, 33.400, 0.215, 0.001
			3, 0.024, 29.624, 33.500, 0.198, 0.001
			3, 0.022, 27.536, 33.600, 0.184, 0.001
			3, 0.020, 25.771, 33.700, 0.172, 0.001
			3, 0.019, 23.981, 33.800, 0.160, 0.001
			3, 0.017, 22.016, 33.900, 0.147, 0.001
			3, 0.015, 20.274, 34.000, 0.136, 0.001
			3, 0.014, 18.564, 34.100, 0.124, 0.001
			3, 0.012, 17.034, 34.200, 0.114, 0.000
			3, 0.011, 15.220, 34.300, 0.102, 0.000
			3, 0.009, 13.787, 34.400, 0.092, 0.000
			3, 0.007, 11.984, 34.500, 0.080, 0.000
			3, 0.005, 10.418, 34.600, 0.070, 0.000
			3, 0.004, 9.170, 34.700, 0.061, 0.000
			3, 0.002, 8.036, 34.800, 0.054, 0.000
			3, 0.001, 6.946, 34.900, 0.046, 0.000
			3, -0.000, 6.356, 34.950, 0.042, -0.000
			4, -0.000, 5.954, 34.990, 0.040, -0.000
			4, -0.001, 5.670, 35.100, 0.038, -0.000
			4, -0.001, 5.662, 35.300, 0.038, -0.000
			4, -0.001, 5.739, 35.400, 0.038, -0.000
			4, -0.001, 5.733, 35.500, 0.038, -0.000
			4, -0.001, 5.772, 35.600, 0.039, -0.000
			4, -0.001, 5.788, 35.700, 0.039, -0.000
			4, -0.001, 5.779, 35.800, 0.039, -0.000
			4, -0.001, 5.825, 35.900, 0.039, -0.000
			4, -0.001, 5.807, 36.000, 0.039, -0.000
			4, -0.001, 5.845, 36.100, 0.039, -0.000
			4, -0.001, 5.833, 36.200, 0.039, -0.000
			4, -0.001, 5.832, 36.300, 0.039, -0.000
			4, -0.001, 5.884, 36.400, 0.039, -0.000
			4, -0.000, 5.965, 36.500, 0.040, -0.000
			4, -0.000, 6.002, 36.600, 0.040, -0.000
			4, -0.000, 6.028, 36.700, 0.040, -0.000
			4, -0.000, 6.088, 36.800, 0.041, -0.000
			4, -0.000, 6.159, 36.900, 0.041, -0.000
			4, -0.000, 6.167, 37.000, 0.041, -0.000
			4, 0.000, 6.270, 37.100, 0.042, 0.000
			4, 0.000, 6.469, 37.200, 0.043, 0.000
			4, 0.001, 6.898, 37.300, 0.046, 0.000
			4, 0.003, 8.388, 37.400, 0.056, 0.000
			4, 0.004, 9.565, 37.500, 0.064, 0.000
			4, 0.006, 10.766, 37.600, 0.072, 0.000
			4, 0.007, 12.016, 37.700, 0.080, 0.000
			4, 0.009, 13.377, 37.800, 0.089, 0.000
			4, 0.010, 14.839, 37.900, 0.099, 0.000
			4, 0.012, 16.361, 38.000, 0.109, 0.000
			4, 0.014, 17.853, 38.100, 0.119, 0.001
			4, 0.015, 19.588, 38.200, 0.131, 0.001
			4, 0.017, 21.782, 38.300, 0.146, 0.001
			4, 0.019, 24.191, 38.400, 0.162, 0.001
			4, 0.021, 26.861, 38.500, 0.180, 0.001
			4, 0.022, 28.424, 38.600, 0.190, 0.001
			4, 0.024, 30.217, 38.700, 0.202, 0.001
			4, 0.025, 32.161, 38.800, 0.215, 0.001
			4, 0.027, 34.143, 38.900, 0.228, 0.001
			4, 0.029, 36.258, 39.000, 0.242, 0.001
			4, 0.030, 38.294, 39.100, 0.256, 0.001
			4, 0.032, 40.410, 39.200, 0.270, 0.001
			4, 0.034, 42.832, 39.300, 0.286, 0.001
			4, 0.035, 45.808, 39.400, 0.306, 0.001
			4, 0.037, 48.701, 39.500, 0.326, 0.001
			4, 0.039, 51.489, 39.600, 0.344, 0.002
			4, 0.040, 53.561, 39.700, 0.358, 0.002
			4, 0.042, 55.795, 39.800, 0.373, 0.002
			4, 0.044, 58.109, 39.900, 0.389, 0.002
			4, 0.045, 60.523, 40.000, 0.405, 0.002
			4, 0.047, 63.004, 40.100, 0.421, 0.002
			4, 0.048, 65.445, 40.200, 0.438, 0.002
			4, 0.050, 67.956, 40.300, 0.454, 0.002
			4, 0.052, 70.977, 40.400, 0.475, 0.002
			4, 0.054, 74.473, 40.500, 0.498, 0.002
			4, 0.055, 77.715, 40.600, 0.520, 0.002
			4, 0.057, 80.390, 40.700, 0.537, 0.002
			4, 0.059, 82.807, 40.800, 0.554, 0.002
			4, 0.060, 85.325, 40.900, 0.570, 0.002
			4, 0.061, 88.021, 41.000, 0.589, 0.002
			4, 0.063, 90.832, 41.100, 0.607, 0.002
			4, 0.064, 92.503, 41.160, 0.618, 0.002
			4, 0.064, 93.383, 41.190, 0.624, 0.002
			4, 0.065, 94.192, 41.400, 0.630, 0.003
			4, 0.065, 94.123, 41.500, 0.629, 0.003
			4, 0.065, 94.070, 41.600, 0.629, 0.003
			4, 0.065, 94.010, 41.700, 0.629, 0.003
			4, 0.065, 93.973, 41.800, 0.628, 0.003
			4, 0.065, 93.939, 41.900, 0.628, 0.003
			4, 0.065, 93.844, 42.000, 0.627, 0.003
			4, 0.065, 93.837, 42.100, 0.627, 0.003
			4, 0.065, 93.800, 42.200, 0.627, 0.003
			4, 0.065, 93.764, 42.300, 0.627, 0.003
			4, 0.064, 93.740, 42.400, 0.627, 0.002
			4, 0.064, 93.647, 42.500, 0.626, 0.002
			4, 0.064, 93.601, 42.600, 0.626, 0.002
			4, 0.064, 93.541, 42.700, 0.625, 0.002
			4, 0.064, 93.477, 42.800, 0.625, 0.002
			4, 0.064, 93.403, 42.900, 0.625, 0.002
